,class_score,precision,recall,f1-score,support,test_folder
0,air_conditioner,0.011363636363636364,0.01,0.010638297872340425,100.0,1
1,car_horn,0.0,0.0,0.0,36.0,1
2,children_playing,0.4827586206896552,0.28,0.35443037974683544,100.0,1
3,dog_bark,0.782051282051282,0.61,0.6853932584269663,100.0,1
4,drilling,0.423728813559322,0.25,0.31446540880503143,100.0,1
5,engine_idling,0.16666666666666666,0.3854166666666667,0.23270440251572322,96.0,1
6,gun_shot,0.5161290322580645,0.45714285714285713,0.4848484848484849,35.0,1
7,jackhammer,0.5337423312883436,0.725,0.6148409893992932,120.0,1
8,siren,0.873015873015873,0.6395348837209303,0.738255033557047,86.0,1
9,street_music,0.36936936936936937,0.41,0.38862559241706157,100.0,1
10,accuracy,0.4020618556701031,0.4020618556701031,0.4020618556701031,0.4020618556701031,1
11,macro avg,0.4158825625262213,0.3767094407530454,0.3824201847588783,873.0,1
12,weighted avg,0.4354182510496278,0.4020618556701031,0.4031334077340792,873.0,1
13,air_conditioner,0.0,0.0,0.0,100.0,2
14,car_horn,0.0,0.0,0.0,42.0,2
15,children_playing,0.14285714285714285,0.08,0.10256410256410256,100.0,2
16,dog_bark,0.6823529411764706,0.58,0.6270270270270271,100.0,2
17,drilling,0.723404255319149,0.34,0.4625850340136055,100.0,2
18,engine_idling,0.19946808510638298,0.75,0.315126050420168,100.0,2
19,gun_shot,0.8333333333333334,0.5714285714285714,0.6779661016949152,35.0,2
20,jackhammer,0.32727272727272727,0.3,0.3130434782608696,120.0,2
21,siren,0.8947368421052632,0.18681318681318682,0.30909090909090914,91.0,2
22,street_music,0.3284671532846715,0.45,0.37974683544303794,100.0,2
23,accuracy,0.32995495495495497,0.32995495495495497,0.32995495495495497,0.32995495495495497,2
24,macro avg,0.41318924804551405,0.32582417582417583,0.3187149538514635,888.0,2
25,weighted avg,0.40260743732584975,0.32995495495495497,0.31320518989267254,888.0,2
26,air_conditioner,0.17708333333333334,0.17,0.17346938775510207,100.0,3
27,car_horn,0.0,0.0,0.0,43.0,3
28,children_playing,0.3333333333333333,0.28,0.30434782608695654,100.0,3
29,dog_bark,0.7741935483870968,0.48,0.5925925925925926,100.0,3
30,drilling,0.375,0.18,0.24324324324324328,100.0,3
31,engine_idling,0.08366533864541832,0.19626168224299065,0.11731843575418995,107.0,3
32,gun_shot,0.7647058823529411,0.7222222222222222,0.7428571428571428,36.0,3
33,jackhammer,0.2613065326633166,0.43333333333333335,0.32601880877742945,120.0,3
34,siren,1.0,0.25210084033613445,0.40268456375838924,119.0,3
35,street_music,0.2892561983471074,0.35,0.31674208144796373,100.0,3
36,accuracy,0.2972972972972973,0.2972972972972973,0.2972972972972973,0.2972972972972973,3
37,macro avg,0.40585441670625466,0.3063918078134681,0.3219274082273009,925.0,3
38,weighted avg,0.4126757062264332,0.2972972972972973,0.31284017623965527,925.0,3
39,air_conditioner,0.2781456953642384,0.42,0.3346613545816733,100.0,4
40,car_horn,0.0,0.0,0.0,59.0,4
41,children_playing,0.578125,0.37,0.45121951219512196,100.0,4
42,dog_bark,0.7868852459016393,0.48,0.5962732919254659,100.0,4
43,drilling,0.24,0.12,0.16,100.0,4
44,engine_idling,0.2594594594594595,0.4485981308411215,0.3287671232876712,107.0,4
45,gun_shot,0.625,0.6578947368421053,0.6410256410256411,38.0,4
46,jackhammer,0.29910714285714285,0.5583333333333333,0.38953488372093026,120.0,4
47,siren,0.9402985074626866,0.3795180722891566,0.5407725321888412,166.0,4
48,street_music,0.28378378378378377,0.42,0.33870967741935487,100.0,4
49,accuracy,0.3878787878787879,0.3878787878787879,0.3878787878787879,0.3878787878787879,4
50,macro avg,0.42908048348289507,0.38543442733057165,0.37809640163447,990.0,4
51,weighted avg,0.46483691318059733,0.3878787878787879,0.3880160268209859,990.0,4
52,air_conditioner,0.0,0.0,0.0,100.0,5
53,car_horn,0.0,0.0,0.0,98.0,5
54,children_playing,0.4666666666666667,0.21,0.2896551724137931,100.0,5
55,dog_bark,0.6129032258064516,0.38,0.46913580246913583,100.0,5
56,drilling,0.7068965517241379,0.41,0.5189873417721519,100.0,5
57,engine_idling,0.2663755458515284,0.5700934579439252,0.3630952380952381,107.0,5
58,gun_shot,0.64,0.8,0.7111111111111111,40.0,5
59,jackhammer,0.38545454545454544,0.8833333333333333,0.5367088607594936,120.0,5
60,siren,0.9069767441860465,0.5492957746478874,0.6842105263157895,71.0,5
61,street_music,0.42567567567567566,0.63,0.5080645161290323,100.0,5
62,accuracy,0.4284188034188034,0.4284188034188034,0.4284188034188034,0.4284188034188034,5
63,macro avg,0.4410948955365052,0.44327225659251457,0.4080968569065745,936.0,5
64,weighted avg,0.4123571470995315,0.4284188034188034,0.3834016333959471,936.0,5
65,air_conditioner,0.07692307692307693,0.02,0.03174603174603175,100.0,6
66,car_horn,0.0,0.0,0.0,28.0,6
67,children_playing,0.46153846153846156,0.36,0.4044943820224719,100.0,6
68,dog_bark,0.7450980392156863,0.38,0.5033112582781457,100.0,6
69,drilling,0.4,0.24,0.3,100.0,6
70,engine_idling,0.3118811881188119,0.5887850467289719,0.4077669902912621,107.0,6
71,gun_shot,0.717948717948718,0.6086956521739131,0.6588235294117647,46.0,6
72,jackhammer,0.2702702702702703,0.7352941176470589,0.39525691699604754,68.0,6
73,siren,0.9259259259259259,0.33783783783783783,0.49504950495049505,74.0,6
74,street_music,0.3870967741935484,0.6,0.47058823529411764,100.0,6
75,accuracy,0.39611178614823817,0.39611178614823817,0.39611178614823817,0.39611178614823817,6
76,macro avg,0.42966824541344995,0.3870612654387781,0.3667036848990336,823.0,6
77,weighted avg,0.43786082653502806,0.39611178614823817,0.3748020349577774,823.0,6
78,air_conditioner,0.030303030303030304,0.01,0.015037593984962405,100.0,7
79,car_horn,0.0,0.0,0.0,28.0,7
80,children_playing,0.5,0.21,0.29577464788732394,100.0,7
81,dog_bark,0.7469879518072289,0.62,0.6775956284153004,100.0,7
82,drilling,0.34782608695652173,0.16,0.2191780821917808,100.0,7
83,engine_idling,0.1893687707641196,0.5377358490566038,0.2800982800982801,106.0,7
84,gun_shot,0.7906976744186046,0.6666666666666666,0.7234042553191489,51.0,7
85,jackhammer,0.16296296296296298,0.2894736842105263,0.2085308056872038,76.0,7
86,siren,1.0,0.1038961038961039,0.18823529411764706,77.0,7
87,street_music,0.3469387755102041,0.51,0.4129554655870446,100.0,7
88,accuracy,0.324582338902148,0.324582338902148,0.324582338902148,0.324582338902148,7
89,macro avg,0.41150852527226717,0.31077723038299004,0.3020810053288693,838.0,7
90,weighted avg,0.4140685450348797,0.324582338902148,0.3090461042931048,838.0,7
91,air_conditioner,0.03571428571428571,0.01,0.015625,100.0,8
92,car_horn,0.0,0.0,0.0,30.0,8
93,children_playing,0.43478260869565216,0.2,0.273972602739726,100.0,8
94,dog_bark,0.7966101694915254,0.47,0.5911949685534592,100.0,8
95,drilling,0.3684210526315789,0.28,0.3181818181818182,100.0,8
96,engine_idling,0.28688524590163933,0.7954545454545454,0.42168674698795183,88.0,8
97,gun_shot,0.6857142857142857,0.8,0.7384615384615385,30.0,8
98,jackhammer,0.31413612565445026,0.7692307692307693,0.44609665427509293,78.0,8
99,siren,0.5,0.0625,0.1111111111111111,80.0,8
100,street_music,0.36752136752136755,0.43,0.39631336405529954,100.0,8
101,accuracy,0.369727047146402,0.369727047146402,0.369727047146402,0.369727047146402,8
102,macro avg,0.3789785141324785,0.3817185314685315,0.3312643804365997,806.0,8
103,weighted avg,0.38539069034399615,0.369727047146402,0.32565196422352644,806.0,8
104,air_conditioner,0.22459893048128343,0.42,0.29268292682926833,100.0,9
105,car_horn,0.0,0.0,0.0,32.0,9
106,children_playing,0.6301369863013698,0.46,0.5317919075144509,100.0,9
107,dog_bark,0.581081081081081,0.43,0.49425287356321834,100.0,9
108,drilling,0.45652173913043476,0.21,0.2876712328767123,100.0,9
109,engine_idling,0.0,0.0,0.0,89.0,9
110,gun_shot,0.34285714285714286,0.3870967741935484,0.3636363636363636,31.0,9
111,jackhammer,0.36787564766839376,0.8658536585365854,0.5163636363636364,82.0,9
112,siren,0.9285714285714286,0.6341463414634146,0.7536231884057972,82.0,9
113,street_music,0.35526315789473684,0.54,0.42857142857142855,100.0,9
114,accuracy,0.4178921568627451,0.4178921568627451,0.4178921568627451,0.4178921568627451,9
115,macro avg,0.38869061139858707,0.39470967741935487,0.3668593557760876,816.0,9
116,weighted avg,0.4187468396680484,0.4178921568627451,0.39081946548937335,816.0,9
117,air_conditioner,0.08571428571428572,0.03,0.04444444444444444,100.0,10
118,car_horn,0.0,0.0,0.0,33.0,10
119,children_playing,0.3972602739726027,0.29,0.3352601156069364,100.0,10
120,dog_bark,0.7794117647058824,0.53,0.6309523809523809,100.0,10
121,drilling,0.46551724137931033,0.27,0.34177215189873417,100.0,10
122,engine_idling,0.3107569721115538,0.8387096774193549,0.45348837209302323,93.0,10
123,gun_shot,0.8387096774193549,0.8125,0.8253968253968254,32.0,10
124,jackhammer,0.48026315789473684,0.7604166666666666,0.5887096774193549,96.0,10
125,siren,0.8,0.14457831325301204,0.24489795918367346,83.0,10
126,street_music,0.3181818181818182,0.49,0.38582677165354334,100.0,10
127,accuracy,0.41816009557945044,0.41816009557945044,0.41816009557945044,0.41816009557945044,10
128,macro avg,0.4475815191379545,0.4166204657339033,0.38507486986489164,837.0,10
129,weighted avg,0.44546345237404844,0.41816009557945044,0.3814281518727078,837.0,10
