,class_score,precision,recall,f1-score,support,test_folder
0,air_conditioner,0.4883720930232558,0.42,0.45161290322580644,100.0,1
1,car_horn,0.7954545454545454,0.9722222222222222,0.875,36.0,1
2,children_playing,0.6779661016949152,0.8,0.7339449541284404,100.0,1
3,dog_bark,0.6198347107438017,0.75,0.6787330316742083,100.0,1
4,drilling,0.4453125,0.57,0.5,100.0,1
5,engine_idling,0.6027397260273972,0.4583333333333333,0.5207100591715976,96.0,1
6,gun_shot,0.8387096774193549,0.7428571428571429,0.787878787878788,35.0,1
7,jackhammer,0.32978723404255317,0.25833333333333336,0.28971962616822433,120.0,1
8,siren,0.8666666666666667,0.7558139534883721,0.8074534161490684,86.0,1
9,street_music,0.6893203883495146,0.71,0.6995073891625615,100.0,1
10,accuracy,0.6025200458190149,0.6025200458190149,0.6025200458190149,0.6025200458190149,1
11,macro avg,0.6354163643422005,0.6437559985234403,0.6344560167558695,873.0,1
12,weighted avg,0.5979869379659332,0.6025200458190149,0.5952475372329202,873.0,1
13,air_conditioner,0.5844155844155844,0.45,0.5084745762711864,100.0,2
14,car_horn,0.8064516129032258,0.5952380952380952,0.684931506849315,42.0,2
15,children_playing,0.7326732673267327,0.74,0.7363184079601991,100.0,2
16,dog_bark,0.7142857142857143,0.9,0.7964601769911505,100.0,2
17,drilling,0.6206896551724138,0.72,0.6666666666666666,100.0,2
18,engine_idling,0.4094488188976378,0.52,0.4581497797356829,100.0,2
19,gun_shot,0.8055555555555556,0.8285714285714286,0.8169014084507044,35.0,2
20,jackhammer,0.4246575342465753,0.25833333333333336,0.32124352331606215,120.0,2
21,siren,0.7674418604651163,0.7252747252747253,0.7457627118644067,91.0,2
22,street_music,0.7391304347826086,0.85,0.7906976744186046,100.0,2
23,accuracy,0.6407657657657657,0.6407657657657657,0.6407657657657657,0.6407657657657657,2
24,macro avg,0.6604750038051164,0.6587417582417583,0.6525606432523978,888.0,2
25,weighted avg,0.6339255327549143,0.6407657657657657,0.6300101693303868,888.0,2
26,air_conditioner,0.2716049382716049,0.22,0.24309392265193372,100.0,3
27,car_horn,0.9090909090909091,0.6976744186046512,0.7894736842105263,43.0,3
28,children_playing,0.6413043478260869,0.59,0.6145833333333333,100.0,3
29,dog_bark,0.5285714285714286,0.74,0.6166666666666666,100.0,3
30,drilling,0.7011494252873564,0.61,0.6524064171122995,100.0,3
31,engine_idling,0.5925925925925926,0.29906542056074764,0.39751552795031053,107.0,3
32,gun_shot,0.9722222222222222,0.9722222222222222,0.9722222222222222,36.0,3
33,jackhammer,0.5333333333333333,0.6666666666666666,0.5925925925925926,120.0,3
34,siren,0.8292682926829268,0.8571428571428571,0.8429752066115702,119.0,3
35,street_music,0.5658914728682171,0.73,0.6375545851528384,100.0,3
36,accuracy,0.614054054054054,0.614054054054054,0.614054054054054,0.614054054054054,3
37,macro avg,0.6545028962746677,0.6382771585197144,0.6359084158504293,925.0,3
38,weighted avg,0.6173334103892476,0.614054054054054,0.6046888465960335,925.0,3
39,air_conditioner,0.302158273381295,0.42,0.3514644351464435,100.0,4
40,car_horn,0.9142857142857143,0.5423728813559322,0.6808510638297872,59.0,4
41,children_playing,0.7906976744186046,0.68,0.7311827956989247,100.0,4
42,dog_bark,0.7068965517241379,0.82,0.7592592592592593,100.0,4
43,drilling,0.5401459854014599,0.74,0.6244725738396625,100.0,4
44,engine_idling,0.45217391304347826,0.48598130841121495,0.46846846846846846,107.0,4
45,gun_shot,0.9310344827586207,0.7105263157894737,0.8059701492537312,38.0,4
46,jackhammer,0.4854368932038835,0.4166666666666667,0.44843049327354256,120.0,4
47,siren,0.9299363057324841,0.8795180722891566,0.9040247678018575,166.0,4
48,street_music,0.7808219178082192,0.57,0.6589595375722543,100.0,4
49,accuracy,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,4
50,macro avg,0.6833587711757898,0.6265065244512444,0.6433083544143932,990.0,4
51,weighted avg,0.6690895660533,0.6363636363636364,0.6437745811750639,990.0,4
52,air_conditioner,0.6788990825688074,0.74,0.7081339712918661,100.0,5
53,car_horn,0.9861111111111112,0.7244897959183674,0.8352941176470589,98.0,5
54,children_playing,0.7572815533980582,0.78,0.768472906403941,100.0,5
55,dog_bark,0.6521739130434783,0.75,0.6976744186046512,100.0,5
56,drilling,0.632183908045977,0.55,0.5882352941176471,100.0,5
57,engine_idling,0.8313253012048193,0.6448598130841121,0.7263157894736842,107.0,5
58,gun_shot,1.0,0.875,0.9333333333333333,40.0,5
59,jackhammer,0.7619047619047619,0.9333333333333333,0.8389513108614233,120.0,5
60,siren,0.8382352941176471,0.8028169014084507,0.8201438848920864,71.0,5
61,street_music,0.7521367521367521,0.88,0.8110599078341014,100.0,5
62,accuracy,0.7628205128205128,0.7628205128205128,0.7628205128205128,0.7628205128205128,5
63,macro avg,0.7890251677531412,0.7680499843744264,0.7727614934459793,936.0,5
64,weighted avg,0.773292194816278,0.7628205128205128,0.7619337278764517,936.0,5
65,air_conditioner,0.3671875,0.47,0.41228070175438597,100.0,6
66,car_horn,0.6486486486486487,0.8571428571428571,0.7384615384615384,28.0,6
67,children_playing,0.6173913043478261,0.71,0.6604651162790698,100.0,6
68,dog_bark,0.6909090909090909,0.76,0.7238095238095238,100.0,6
69,drilling,0.6774193548387096,0.63,0.6528497409326425,100.0,6
70,engine_idling,0.5666666666666667,0.4766355140186916,0.517766497461929,107.0,6
71,gun_shot,0.975609756097561,0.8695652173913043,0.9195402298850575,46.0,6
72,jackhammer,0.5443037974683544,0.6323529411764706,0.5850340136054422,68.0,6
73,siren,0.7586206896551724,0.5945945945945946,0.6666666666666667,74.0,6
74,street_music,0.8888888888888888,0.64,0.7441860465116279,100.0,6
75,accuracy,0.6354799513973268,0.6354799513973268,0.6354799513973268,0.6354799513973268,6
76,macro avg,0.6735645697520919,0.6640291124323918,0.6621060075367884,823.0,6
77,weighted avg,0.6573557076995938,0.6354799513973268,0.6401598396929411,823.0,6
78,air_conditioner,0.6447368421052632,0.49,0.5568181818181819,100.0,7
79,car_horn,0.525,0.75,0.6176470588235295,28.0,7
80,children_playing,0.6846846846846847,0.76,0.7203791469194314,100.0,7
81,dog_bark,0.773109243697479,0.92,0.8401826484018265,100.0,7
82,drilling,0.6595744680851063,0.62,0.6391752577319586,100.0,7
83,engine_idling,0.6296296296296297,0.6415094339622641,0.6355140186915889,106.0,7
84,gun_shot,1.0,0.9019607843137255,0.9484536082474228,51.0,7
85,jackhammer,0.6190476190476191,0.6842105263157895,0.6500000000000001,76.0,7
86,siren,0.7428571428571429,0.6753246753246753,0.7074829931972789,77.0,7
87,street_music,0.8111111111111111,0.73,0.768421052631579,100.0,7
88,accuracy,0.7052505966587113,0.7052505966587113,0.7052505966587113,0.7052505966587113,7
89,macro avg,0.7089750741218036,0.7173005419916454,0.7084073966462798,838.0,7
90,weighted avg,0.7088424758433464,0.7052505966587113,0.7033455332642888,838.0,7
91,air_conditioner,0.375,0.27,0.313953488372093,100.0,8
92,car_horn,0.8214285714285714,0.7666666666666667,0.793103448275862,30.0,8
93,children_playing,0.7407407407407407,0.6,0.6629834254143647,100.0,8
94,dog_bark,0.6746031746031746,0.85,0.7522123893805311,100.0,8
